"colony","hive","cca","date","doy","adult_num_low","adult_num_mean","adult_num_high","honey_kg_low","honey_kg_mean","honey_kg_high","pupae_num_low","pupae_num_mean","pupae_num_high"
"LSCFS_2014_2","H","CCA7",2014-10-08,281,4657.653,2529.2925,9716.238,3.325673664,5.131163168,13.588,2306.52,3654.828,9616.176
"LSCFS_2014_2","H","CCA8",2014-10-28,301,3182.256,1910.9785,7004.213,2.100425472,3.808787264,9.718,768.84,1351.834,3472.508
"LSCFS_2014_2","I","CCA4",2014-07-30,211,8711.703,4280.151,17272.005,4.069574352,2.867212824,9.804,5151.228,9177.49,23506.208
"LSCFS_2014_2","I","CCA5",2014-08-24,236,11185.713,5036.9745,21259.662,3.06312048,4.48843976,12.04,5920.068,11464.23,28848.528
"LSCFS_2014_2","I","CCA6",2014-09-20,263,9289.665,4183.299,17656.263,6.520070736,5.339964632,17.2,4305.504,9066.12,22437.744
"LSCFS_2014_2","I","CCA7",2014-10-08,281,6385.995,4597.376,15580.747,4.638439584,4.990780208,14.62,922.608,3278.32,7479.248
"LSCFS_2014_2","I","CCA8",2014-10-28,301,1501.038,1279.252,4059.542,1.794113424,6.068943288,13.932,76.884,2232.044,4540.972
"LSCFS_2014_2","J","CCA4",2014-07-30,211,6162.849,4028.002,14218.853,2.144184336,3.356907832,8.858,0,11085.314,22170.628
"LSCFS_2014_2","J","CCA5",2014-08-24,236,3410.253,6225.7495,15861.752,2.538014112,5.868992944,14.276,2460.288,12526.33,27512.948
"LSCFS_2014_2","J","CCA6",2014-09-20,263,7735.266,3426.734,14588.734,3.413191392,1.647404304,6.708,2614.056,3233.944,9081.944
"LSCFS_2014_2","J","CCA7",2014-10-08,281,3185.028,1410.972,6006.972,2.1879432,1.0560284,4.3,2075.868,2568.132,7212.132
